Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
620000,0.3017985,3.2048278,0.86682117,0.36721703,0.09555295,0.00029078271,0.19692756,0.009693063,0.037602995,0.18804663,143.97333333333333,7.775584154607107,7.775584154607107,1.129231724043687,1.0
630000,0.33959627,3.22587,0.8382305,0.32503814,0.09575013,0.00029062547,0.19687515,0.009687828,0.038399078,0.20903404,126.08571428571429,7.886136311767758,7.886136311767758,1.0148990300038587,1.0
640000,0.3284346,3.0018034,0.78746754,0.3041817,0.1005396,0.00029047075,0.19682358,0.009682675,0.037629705,0.20942801,174.7704918032787,8.451878756452658,8.451878756452658,1.3563083735767936,1.0
650000,0.3087511,3.0932496,0.80389726,0.35249424,0.097919315,0.0002903255,0.19677514,0.009677837,0.03881623,0.20249021,137.2054794520548,7.941662367357797,7.941662367357797,1.1029837764044468,1.0
660000,0.2968288,3.2233737,0.8257534,0.33543074,0.100233175,0.00029017424,0.19672474,0.009672801,0.03861983,0.1888909,126.94666666666667,8.04745414932699,8.04745414932699,1.0097875515552792,1.0
670000,0.3273396,2.9714787,0.82430273,0.29534227,0.09092716,0.00029001964,0.19667321,0.009667654,0.03838495,0.20863558,153.984126984127,8.173997163048625,8.173997163048625,1.2636751419631764,1.0
680000,0.33254132,2.753169,0.80202883,0.28221312,0.09893575,0.00028987217,0.19662406,0.009662742,0.038131222,0.21824758,177.5737704918033,8.185085446421118,8.185085446421118,1.408851740942871,1.0
690000,0.28761336,3.0783706,0.82741594,0.3365809,0.094729364,0.00028972648,0.1965755,0.009657892,0.038738735,0.18572915,137.80882352941177,8.225920800783891,8.225920800783891,1.1129210388616604,1.0
700000,0.30511275,3.2729719,0.8218485,0.34237233,0.103530265,0.00028957927,0.19652642,0.009652991,0.03757879,0.19632646,114.6,7.826682352057348,7.826682352057348,0.8990773956601819,1.0
710000,0.3636799,3.186609,0.8175994,0.26739886,0.10115526,0.00028943073,0.19647688,0.009648042,0.037999347,0.22106874,143.79661016949152,7.966722124177268,7.966722124177268,1.153557022212673,1.0
720000,0.4048346,3.1219728,0.83124286,0.3202779,0.10204898,0.0002892818,0.19642727,0.009643084,0.03804548,0.2801726,142.1139240506329,7.910544443121062,7.910544443121062,1.1321394169538082,1.0
