Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
150000,1.0784558,-0.13752726,0.9685925,16.75565,466.6666666666667,2.6840847,0.39192057,0.00029781842,0.1992728,0.009927353,0.0425656,0.94198114,0.8049034,0.258166,0.7605308,0.0,0.05263494806630271,0.05263494806630271,4.164751269278073,119.81994869595482,1.0
160000,1.0800089,-0.027917081,0.9257639,18.040653,452.11764705882354,2.4563248,0.39103985,0.00029767348,0.1992245,0.009922526,0.045715947,0.94109946,0.85602367,0.2623258,0.75408846,0.0,1.6093174332220639,1.6093174332220639,4.199758754954452,112.55897067274365,1.0
170000,1.083901,0.20471425,0.9635834,18.736319,408.0769230769231,2.9139194,0.374499,0.0002975306,0.19917688,0.009917768,0.04665332,0.90564024,0.87617505,0.27647057,0.7384387,0.0,2.418111100948105,2.418111100948105,3.985176528493563,109.90611584981282,1.0
180000,1.1370295,0.36909518,0.9615085,17.161852,435.5416666666667,4.6837077,0.3971259,0.00029737453,0.19912484,0.00991257,0.045851838,0.9881384,0.90695,0.27082205,0.7458061,0.0,2.6930580626687277,2.6930580626687277,4.267300834150418,120.9135136552479,1.0
190000,1.086008,0.5809917,0.92596483,19.322517,410.8,2.5571685,0.33779848,0.0002972224,0.19907413,0.0099075055,0.04839051,0.94378805,0.8807762,0.27192608,0.7470431,0.0,4.179180707190729,4.179180707190729,4.018890407557289,97.13179611166318,1.0
200000,0.97578,0.72609174,0.9480016,19.033665,358.56666666666666,2.6639402,0.371114,0.00029707063,0.19902354,0.00990245,0.047533214,0.86425847,0.8830304,0.2806064,0.73734593,0.0,3.4801482812466995,3.4801482812466995,3.537980753376528,95.13348663957031,1.0
210000,1.0106719,0.74786395,0.957986,16.829853,406.6666666666667,1.7935324,0.3924981,0.00029692455,0.19897485,0.009897588,0.047218688,0.85015476,0.8564906,0.27543232,0.7394949,0.0,3.2106915485907206,3.2106915485907206,3.8051344263884754,97.94843180974324,1.0
220000,1.0219842,0.63958037,0.92059463,15.542766,454.95,1.6087048,0.30631137,0.00029678416,0.19892806,0.009892913,0.047424294,0.8776683,0.7989745,0.24884942,0.7648537,0.0,2.446539749080936,2.446539749080936,4.291623846406028,100.27753533635821,1.0
230000,0.96052146,0.6563151,0.9356748,15.446167,389.64516129032256,1.6576793,0.37530762,0.00029663034,0.1988768,0.00988779,0.048061192,0.8296819,0.8235933,0.26126975,0.75502205,0.0,3.4203612077593184,3.4203612077593184,4.000731581822038,93.62808774908383,1.0
240000,0.9917793,0.8539471,1.021989,17.328138,383.36,1.7140663,0.34115875,0.0002964672,0.19882241,0.009882356,0.053615756,0.8397907,0.8429411,0.27747187,0.7484963,0.0,4.875476394680196,4.875476394680196,3.993506582719939,88.78358016695294,1.0
