Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
570000,0.367701,0.52164334,0.9814169,0.023763496,0.09437359,0.00029152783,0.19717593,0.009717877,0.046863113,0.20930533,353.74074074074076,2.627023803735418,2.627023803735418,3.4698590173918222,1.0
580000,0.43885657,0.5551074,0.99662364,0.030207438,0.0966196,0.00029137344,0.19712447,0.009712734,0.045698777,0.25485054,319.0,2.4796558806011753,2.4796558806011753,3.0801682145364824,1.0
590000,0.4415326,0.500536,0.94589967,0.019562714,0.09957846,0.0002912254,0.19707511,0.009707805,0.044306304,0.23694032,415.92,2.783266633450985,2.783266633450985,3.8384574455022813,1.0
600000,0.48813218,0.43754655,0.9601662,0.012566417,0.09174004,0.000291075,0.197025,0.009702797,0.046584565,0.27672583,451.45454545454544,2.819424192505804,2.819424192505804,4.371151704341173,1.0
610000,0.4792766,0.43504342,0.94260985,0.015718501,0.10015767,0.00029092713,0.19697571,0.009697871,0.04450051,0.26853728,419.54545454545456,2.754045444630637,2.754045444630637,3.890085357156667,1.0
620000,0.4561235,0.47075465,0.9301912,0.014746998,0.09272865,0.00029078196,0.19692731,0.009693038,0.044896033,0.23723616,374.0344827586207,2.932436743686939,2.932436743686939,3.4838809881616255,1.0
630000,0.4955113,0.4583277,0.9133835,0.017556231,0.09575964,0.00029062468,0.19687489,0.0096878,0.043784536,0.27280813,417.6,2.631861084373668,2.631861084373668,3.730269242078066,1.0
640000,0.51524734,0.4662292,0.9307231,0.023208799,0.100821756,0.00029047462,0.19682486,0.009682803,0.045774348,0.30620456,380.8695652173913,2.203000027841578,2.203000027841578,3.697608110650132,1.0
650000,0.46168673,0.5142147,0.94098896,0.013551619,0.09739786,0.00029033108,0.19677703,0.009678024,0.0456361,0.27445057,404.46153846153845,2.978628190807425,2.978628190807425,3.922004167850201,1.0
660000,0.49010003,0.4891778,0.95892215,0.014635028,0.09163898,0.0002901802,0.19672672,0.009673001,0.045456663,0.27582133,395.08,2.4131466352194546,2.4131466352194546,3.713422182351351,1.0
670000,0.4400949,0.42148808,0.96255726,0.021770455,0.095395915,0.00029002817,0.19667608,0.009667939,0.049651753,0.2551974,411.375,2.9685555322406194,2.9685555322406194,4.209629498422146,1.0
