Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Is Training
120000,0.9924193,0.24340133,2.4803212,14.398181,1.0630884,0.38665313,0.00029654877,0.19884959,0.009885073,0.057492733,0.92098695,0.9038221,0.2740106,0.7365438,0.0,559.9444444444445,0.392600158768657,0.392600158768657,13.151069045066833,98.63337858099686,1.0
130000,0.9319458,-0.03999445,2.334798,12.850781,1.0782157,0.37793073,0.00029624705,0.198749,0.009875025,0.050338496,0.8119739,0.8305645,0.26108533,0.7516366,0.0,720.3571428571429,-1.26408553908446,-1.26408553908446,15.013123001371111,115.85069152287075,1.0
140000,0.9354257,0.028864808,2.10924,14.352159,0.9707354,0.4100349,0.00029594835,0.19864944,0.00986508,0.047174715,0.8095827,0.8914773,0.274395,0.7453676,0.0,596.25,0.11233761953189969,0.11233761953189969,11.899563817307353,102.91580819711089,1.0
150000,1.1309631,-0.11803341,2.1721127,12.699307,1.000318,0.37830335,0.00029564628,0.1985488,0.00985502,0.05491065,0.8887474,0.8032004,0.25005952,0.75577796,0.0,753.2142857142857,-1.4724305608094885,-1.4724305608094885,16.36302866385533,113.52929664575137,1.0
160000,1.1204743,-0.078444876,2.240776,12.432449,0.94046867,0.35637614,0.00029534657,0.19844884,0.00984504,0.054140996,0.9462029,0.79498315,0.24769013,0.750209,0.0,695.1875,-0.2775065604209279,-0.2775065604209279,15.31647998392582,102.968205956618,1.0
170000,1.1182,0.026726052,2.1487393,14.680221,1.2884201,0.39026508,0.0002950497,0.19834988,0.009835154,0.050979108,0.9366024,0.85449684,0.268619,0.7441617,0.0,445.05555555555554,0.7239600994158536,0.7239600994158536,10.03492526113987,83.62744284719228,1.0
180000,1.1333972,0.17564332,2.1708164,16.117798,1.4592543,0.37218374,0.00029475545,0.19825183,0.009825356,0.048762247,0.9669514,0.907317,0.2864576,0.72342855,0.0,386.62068965517244,1.112220842808742,1.112220842808742,7.8063011837416685,68.32445323158954,1.0
190000,1.1295652,0.33021638,1.9907986,14.398032,1.156622,0.34687012,0.0002944605,0.1981535,0.009815534,0.042266093,0.9761237,0.8001496,0.26671588,0.7449925,0.0,409.96,2.027632166557014,2.027632166557014,7.230066506564617,68.44579770326614,1.0
200000,1.1087078,0.56077033,1.9660083,16.26108,1.417961,0.4189499,0.00029417066,0.1980569,0.009805883,0.046652935,0.93255556,0.8678525,0.28261527,0.72701836,0.0,329.86206896551727,1.9638966496487886,1.9638966496487886,6.297866831308808,53.12891755021852,1.0
210000,1.1263269,0.68869036,1.9672574,14.227008,1.4828575,0.35790795,0.000293876,0.19795863,0.009796069,0.046749413,0.89631665,0.81122744,0.2529651,0.7467298,0.0,367.962962962963,2.0143409019888,2.0143409019888,7.06510746423845,54.61766782071855,1.0
220000,1.09747,0.5551068,1.9498245,12.823778,1.3226625,0.4046711,0.00029354848,0.1978495,0.009785163,0.04532367,0.8778383,0.7701767,0.24165289,0.75269985,0.0,367.1034482758621,1.7671143851642097,1.7671143851642097,7.095133235411985,55.18012553027698,1.0
230000,1.1462951,0.46053705,1.9035865,11.799173,0.8065052,0.37504527,0.0002932258,0.19774191,0.0097744195,0.046247803,0.9109,0.7791744,0.25040728,0.75343543,0.0,410.0,1.5264637686566196,1.5264637686566196,7.58052119274031,57.25649815933271,1.0
240000,1.1591592,0.406323,1.9224275,10.890525,0.88722956,0.38725108,0.00029293325,0.19764441,0.009764677,0.04634088,0.91280204,0.7780217,0.25285774,0.7603799,0.0,508.6666666666667,1.048571572439479,1.048571572439479,9.398886027790251,68.81763191024463,1.0
250000,1.1850226,0.28556255,1.9310906,10.4693365,0.58531064,0.38282207,0.0002926316,0.19754387,0.00975463,0.047213048,0.9148019,0.70822877,0.22563303,0.77342904,0.0,531.85,1.0277556924459834,1.0277556924459834,10.479094946136078,72.60531252043114,1.0
260000,1.1991901,0.24955098,1.9306371,11.999398,1.3148984,0.344621,0.00029233523,0.19744508,0.0097447615,0.045447223,0.95457774,0.7720026,0.25789183,0.76430273,0.0,456.3333333333333,0.8903305271397466,0.8903305271397466,8.463404750046523,73.78920588933903,1.0
270000,1.125557,0.16864835,1.8590214,11.613099,1.2055656,0.3557737,0.00029203438,0.19734481,0.009734744,0.045204792,0.89599764,0.76062816,0.2424521,0.75914085,0.0,486.1818181818182,0.6059580030115811,0.6059580030115811,10.322451967942087,80.1327263603085,1.0
280000,1.1399295,0.27738035,1.8296704,11.723382,1.4271765,0.34930426,0.00029173942,0.19724646,0.009724922,0.043645933,0.8449073,0.76112765,0.24859929,0.75435746,0.0,414.04761904761904,1.6540167375545327,1.6540167375545327,7.240254553500563,60.44603467360139,1.0
290000,1.1751062,0.30585894,1.8065557,11.285826,1.020191,0.33999488,0.0002914436,0.19714788,0.00971507,0.044541858,0.8721566,0.7527857,0.24412093,0.75726306,0.0,421.7826086956522,1.1470958260090456,1.1470958260090456,7.341783017729935,59.05664626816692,1.0
300000,1.2021484,0.21403067,1.8329359,9.523414,0.74715143,0.34751832,0.00029114605,0.1970487,0.009705163,0.04258364,0.91484183,0.68694305,0.2163367,0.7784168,0.0,473.3333333333333,0.7042958087733259,0.7042958087733259,8.88980388527979,60.777312506800115,1.0
310000,1.1526576,0.55197716,1.8766146,14.288394,1.8539127,0.36468208,0.0002908559,0.19695196,0.009695501,0.046193987,0.8830228,0.83202136,0.27856076,0.7346774,0.0,284.15625,2.290858099477426,2.290858099477426,5.15687899051174,46.57174481115034,1.0
320000,1.2042224,0.56179315,1.7886778,11.80449,1.4133562,0.3846588,0.00029056118,0.19685373,0.009685688,0.041567586,0.9776882,0.724131,0.23350783,0.76389295,0.0,407.2916666666667,1.9411231600321257,1.9411231600321257,6.93186678393529,52.113626054273205,1.0
330000,1.1782484,0.6115971,1.6984843,12.242669,1.5077108,0.35635474,0.00029025978,0.19675326,0.00967565,0.03934688,0.91261035,0.7167392,0.22991249,0.7736958,0.0,408.5652173913044,2.0209418362937868,2.0209418362937868,6.513685580343008,57.482042491436005,1.0
340000,1.1684331,0.5450173,1.6765091,11.837772,0.8945497,0.34815446,0.00028996184,0.19665395,0.0096657295,0.042714268,0.91573393,0.7269696,0.23619588,0.7642876,0.0,384.6296296296296,1.5716000946445599,1.5716000946445599,6.692686794808617,55.558760704817594,1.0
350000,1.1689453,0.49796817,1.7231647,11.482065,0.7723416,0.35714868,0.00028966408,0.19655469,0.009655813,0.041624635,0.8433898,0.6900711,0.21864375,0.78084886,0.0,472.54545454545456,1.5067144583777659,1.5067144583777659,7.81081690586039,59.1260674929335,1.0
360000,1.1406784,0.55373895,1.8254037,10.699834,0.5793525,0.4147411,0.00028936632,0.19645545,0.009645897,0.04440979,0.81043416,0.6888069,0.22702928,0.7785366,0.0,372.7037037037037,1.7876572261697479,1.7876572261697479,7.239151548328144,51.594752102158964,1.0
370000,1.1600218,0.6772258,1.9181918,10.9960575,0.5678677,0.38307917,0.00028904944,0.19634981,0.009635347,0.04644222,0.8716464,0.7170155,0.23408933,0.7643232,0.0,311.05555555555554,2.113600143809514,2.113600143809514,5.978247336272536,38.764731046454656,1.0
380000,1.1185039,0.7430481,1.9068216,10.8564,0.65098023,0.37157232,0.00028872516,0.1962417,0.009624547,0.04437857,0.8871137,0.7277086,0.24266121,0.76743525,0.0,294.75757575757575,1.8803459905792732,1.8803459905792732,5.414536445527463,39.81495150601542,1.0
390000,1.1070919,0.82374144,1.8941613,11.7705555,0.9984273,0.4003729,0.0002884396,0.19614652,0.0096150385,0.047104098,0.87140083,0.78986776,0.26817587,0.7423107,0.0,247.6578947368421,2.067065052688122,2.067065052688122,4.686107525136322,36.11707539847121,1.0
400000,1.0928141,0.7445822,1.8898797,10.919258,0.90308654,0.394741,0.00028815403,0.19605133,0.009605529,0.0465535,0.8771049,0.746667,0.2471725,0.7564518,0.0,239.47368421052633,2.2227790158572853,2.2227790158572853,4.686232501346814,32.49562312741028,1.0
410000,1.0938548,0.64855844,1.8757051,9.533788,0.7873519,0.3707458,0.00028786174,0.19595392,0.009595795,0.045458905,0.84257853,0.7027,0.22637954,0.7753664,0.0,322.61290322580646,2.0060065628945707,2.0060065628945707,6.07676979082246,38.43406784534454,1.0
420000,1.1690103,0.5241491,1.8703651,9.162669,0.7654153,0.34770733,0.0002875697,0.19585656,0.009586071,0.04615446,0.88753575,0.68434066,0.2215344,0.7791246,0.0,375.48148148148147,1.3994644083348768,1.3994644083348768,7.213765129446983,44.60401140153408,1.0
430000,1.1650388,0.4119842,1.9029247,10.00377,1.0500174,0.39276302,0.00028727792,0.19575931,0.009576355,0.04750098,0.8892826,0.7317052,0.24230051,0.76396,0.0,307.6666666666667,1.6145734388381243,1.6145734388381243,5.836764249702295,45.21126522570849,1.0
440000,1.1929615,0.36489496,1.8362969,8.710043,0.95185465,0.35646072,0.00028695154,0.19565052,0.009565487,0.04370695,0.91981035,0.6907053,0.2255636,0.7789607,0.0,382.86206896551727,1.3581643993966281,1.3581643993966281,7.018666996487549,47.43272309537445,1.0
