Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
300000,0.39608365,1.5677245,15.3792925,1.0212284,0.067411676,0.00028258347,0.1941945,0.0047103046,0.81690025,0.26444617,0.7543374,0.0,58.13864306784661,2.3159439296991864,2.3159439296991864,11.118184608470505,1.0
320000,0.3939468,1.5396641,14.356479,0.922068,0.06849604,0.00028139498,0.1937983,0.004690536,0.7933398,0.25623342,0.7603059,0.0,59.045180722891565,2.326229470021776,2.326229470021776,10.874909788055952,1.0
340000,0.3776604,1.5342582,13.839715,0.893439,0.067739695,0.0002802055,0.19340181,0.0046707503,0.7748381,0.25473824,0.7622386,0.0,59.4277108433735,2.3161957428398123,2.3161957428398123,11.179459093515607,1.0
360000,0.4252199,1.5036381,13.166323,1.1064358,0.07203017,0.00027901426,0.19300476,0.004650937,0.75867575,0.24293275,0.76772606,0.0,72.34456928838951,2.2810760941495425,2.2810760941495425,13.54055135239588,1.0
380000,0.43046826,1.3845843,12.408381,0.9068095,0.06973268,0.00027781283,0.19260426,0.0046309526,0.679573,0.2210052,0.78624356,0.0,88.3141592920354,2.2681171556089548,2.2681171556089548,14.914722339631702,1.0
400000,0.51047766,1.2574123,11.428422,0.7752815,0.07066923,0.00027661043,0.19220348,0.0046109534,0.66340053,0.21291061,0.80287915,0.0,110.2816091954023,2.2138682000670107,2.2138682000670107,17.608035193745454,1.0
420000,0.47717384,1.2911288,12.084706,0.9627725,0.07299362,0.00027541257,0.19180417,0.004591028,0.6894506,0.23007216,0.79210645,0.0,102.62189054726367,2.2620357984262265,2.2620357984262265,17.806774943900198,1.0
440000,0.49675125,1.2863115,11.413078,0.92595375,0.067042366,0.00027421382,0.19140461,0.004571089,0.6630707,0.21897557,0.7987293,0.0,101.22916666666667,2.2804611208522934,2.2804611208522934,16.27248209614519,1.0
460000,0.42875242,1.2331749,10.506267,1.1957115,0.06892366,0.00027301547,0.19100516,0.004551157,0.6219995,0.20042941,0.80982864,0.0,120.04790419161677,2.239855423111031,2.239855423111031,19.40184541621122,1.0
480000,0.41550055,1.2997023,11.305772,1.1104667,0.06943199,0.0002718282,0.19060941,0.004531409,0.65351,0.2207412,0.80105495,0.0,94.86190476190477,2.2765733142072957,2.2765733142072957,16.20962651600795,1.0
500000,0.39137343,1.3723896,10.881487,1.0823286,0.069237754,0.00027057616,0.19019203,0.0045105834,0.6248414,0.20749517,0.8084911,0.0,93.13270142180095,2.286198086607191,2.286198086607191,14.691793197686872,1.0
520000,0.3717686,1.4547607,10.91468,1.0556071,0.071368404,0.0002693883,0.1897961,0.004490825,0.6569495,0.21768299,0.80111635,0.0,83.86864406779661,2.28117203517813,2.28117203517813,13.58743365977149,1.0
540000,0.40358207,1.4639382,10.414595,0.94765264,0.06754463,0.00026819375,0.1893979,0.0044709556,0.6499827,0.21977815,0.8014679,0.0,76.04263565891473,2.2891193665212106,2.2891193665212106,11.91346809637639,1.0
560000,0.3732698,1.4155273,9.03599,0.9148566,0.070750594,0.0002669929,0.18899761,0.004450981,0.61591554,0.19944939,0.81309104,0.0,90.11711711711712,2.2802216852288186,2.2802216852288186,13.530289770925746,1.0
580000,0.41301775,1.4138951,8.699432,1.1052144,0.072628394,0.00026579184,0.18859728,0.0044310032,0.62723446,0.21060705,0.80874014,0.0,84.0936170212766,2.311366800906414,2.311366800906414,14.199758806364967,1.0
600000,0.3847316,1.4565185,8.597792,1.0906236,0.06975821,0.00026459392,0.18819797,0.0044110785,0.6446049,0.21860105,0.80531514,0.0,78.18650793650794,2.2895280382487364,2.2895280382487364,12.832018549314778,1.0
620000,0.43129033,1.4486451,8.128961,0.79940426,0.06388786,0.00026339566,0.18779856,0.0043911478,0.6308203,0.20992641,0.8102232,0.0,82.55696202531645,2.2866228752102606,2.2866228752102606,12.643409604100132,1.0
640000,0.44130194,1.3930234,8.134177,0.8705708,0.06937373,0.00026219996,0.18739995,0.004371258,0.6189716,0.20846023,0.81301016,0.0,83.9831223628692,2.2634750765213894,2.2634750765213894,13.264425156142893,1.0
660000,0.40983734,1.3936807,7.80642,0.97863406,0.0707265,0.0002610091,0.18700302,0.004351451,0.60508865,0.20367888,0.8163843,0.0,81.93801652892562,2.26146005990114,2.26146005990114,12.731673992790833,1.0
680000,0.42616853,1.440812,7.2013855,0.91459167,0.07177604,0.0002598176,0.18660587,0.0043316325,0.59955233,0.20040014,0.8219561,0.0,88.34545454545454,2.2799762317264394,2.2799762317264394,13.017468439644738,1.0
