Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
150000,0.8019455,-0.13306385,40.91328,27.31521,0.09876785,0.00029781993,0.19927329,0.009927403,0.34423944,0.118602544,0.8974266,0.0,832.1666666666666,-0.9993999507278204,-0.9993999507278204,226.44727233300605,1.0
160000,0.6954988,-0.10535923,39.560738,24.0316,0.09937485,0.00029767177,0.19922394,0.009922468,0.386047,0.12989342,0.8783997,0.0,832.4166666666666,-0.9994999505579472,-0.9994999505579472,272.4631322522958,1.0
170000,0.5812742,-0.12977631,39.764366,74.444244,0.10134217,0.00029752357,0.19917452,0.009917534,0.51591885,0.17238098,0.8346708,0.0,832.4166666666666,-0.9995999503880739,-0.9995999503880739,440.9664279272159,1.0
180000,0.6023941,-0.13733977,41.308823,27.348755,0.099906325,0.00029737546,0.19912513,0.009912604,0.4396136,0.14801635,0.8609473,0.0,832.1666666666666,-0.9993999507278204,-0.9993999507278204,323.94271314547706,1.0
190000,0.7977062,-0.114946775,42.002205,62.706406,0.10076317,0.0002972273,0.19907574,0.009907668,0.49195325,0.16549043,0.84490705,0.0,832.4166666666666,-0.9994999505579472,-0.9994999505579472,437.7662323365609,1.0
200000,0.88842183,-0.12675008,43.835686,23.978771,0.10801848,0.00029707915,0.19902638,0.009902734,0.41580173,0.1464591,0.8683666,0.0,832.4166666666666,-0.9995999503880739,-0.9995999503880739,323.7603416691224,1.0
210000,0.9066445,-0.11834953,42.477592,27.206354,0.1004482,0.00029693093,0.19897698,0.009897799,0.462189,0.16180596,0.858802,0.0,832.1666666666666,-0.9993999507278204,-0.9993999507278204,371.0739587346713,1.0
220000,0.7526421,-0.1110212,39.025322,24.117191,0.10360199,0.0002967747,0.1989249,0.009892596,0.36749908,0.12750547,0.88912517,0.0,832.4166666666666,-0.9994999505579472,-0.9994999505579472,298.8080591804658,1.0
230000,0.9882122,-0.123849824,37.25917,27.59536,0.10409343,0.00029661812,0.1988727,0.009887382,0.39689907,0.14557654,0.8781769,0.0,832.4166666666666,-0.9995999503880739,-0.9995999503880739,342.58788355191547,1.0
240000,1.1096653,-0.10280574,38.16158,37.440247,0.107476234,0.00029646992,0.1988233,0.009882448,0.4817419,0.16854991,0.8478851,0.0,832.1666666666666,-0.9993999507278204,-0.9993999507278204,393.81056924661,1.0
250000,1.1272802,-0.106666364,38.856895,26.509619,0.10520398,0.00029632213,0.19877404,0.009877526,0.4545511,0.16186248,0.8586571,0.0,808.3333333333334,-0.8039166275411844,-0.8039166275411844,317.7141443490982,1.0
