Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
280000,0.008711068,-0.41085967,4.147714,2.2428894,0.10586661,0.0002958816,0.1986272,0.009862856,0.18841973,0.059828945,0.9358564,0.0,499.0,-13.222330970858986,-13.222330970858986,50.95032680568031,1.0
290000,0.00016830972,-3.7148442,3.3271976,1.4376986,0.10011167,0.00029572743,0.19857582,0.009857724,0.09330281,0.021732787,0.9680459,0.0,499.0,-45.0384341345893,-45.0384341345893,12.624342724642096,1.0
300000,0.13204437,-4.4501996,5.028361,24.922989,0.09495366,0.00029557289,0.1985243,0.009852576,0.40427643,0.14192377,0.8822273,0.0,499.0,-19.308237886902962,-19.308237886902962,90.68202707937665,1.0
310000,0.09110295,-2.1121554,8.538031,31.114454,0.10524184,0.00029542725,0.19847576,0.009847728,0.40258908,0.12251392,0.8698663,0.0,499.0,-0.29455550180541146,-0.29455550180541146,86.73400684776587,1.0
320000,0.10332281,-0.7976349,9.883049,25.881126,0.09266648,0.00029528158,0.19842719,0.009842876,0.408207,0.120543905,0.86236024,0.0,499.0,-0.7214242225004868,-0.7214242225004868,126.94165731801927,1.0
330000,0.036797963,-0.32012692,9.584368,12.5456085,0.096651815,0.00029512745,0.19837582,0.009837743,0.311412,0.087641686,0.88585186,0.0,499.0,-0.8162222939232985,-0.8162222939232985,80.30843068487917,1.0
340000,0.10062457,-0.24623846,6.2201905,4.0331903,0.21015126,0.00029497288,0.19832428,0.0098325955,0.24084663,0.07208583,0.9207685,0.0,499.0,-1.1477878467941827,-1.1477878467941827,57.15648213912077,1.0
350000,0.20797086,-0.2632538,5.518926,4.7611046,0.100171775,0.00029482727,0.19827574,0.009827747,0.30942762,0.104065925,0.9076669,0.0,499.0,-1.338444363636275,-1.338444363636275,56.603271362079894,1.0
360000,0.2041131,-0.28397697,5.9081783,14.245911,0.10262329,0.00029468158,0.19822718,0.009822896,0.32610822,0.11509388,0.9030993,0.0,499.0,-1.4177877801385792,-1.4177877801385792,63.20749743268937,1.0
370000,0.19231574,-0.23232588,8.52706,9.133816,0.09742083,0.00029452745,0.19817582,0.009817764,0.4099965,0.14477296,0.87773633,0.0,499.0,-0.7278887948228253,-0.7278887948228253,85.13513549480639,1.0
380000,0.21215537,-0.33539036,7.277767,12.310458,0.09730133,0.00029437288,0.19812429,0.009812615,0.3779881,0.1279506,0.88483644,0.0,499.0,-2.154151100157337,-2.154151100157337,85.30848557843737,1.0
390000,0.14878973,-0.22293602,8.043455,17.13479,0.092340946,0.00029422727,0.19807574,0.009807766,0.4266243,0.14683568,0.8665651,0.0,499.0,-0.7528888891554542,-0.7528888891554542,95.97493163914058,1.0
400000,0.2140951,-0.20649557,7.415584,2.2840896,0.09669408,0.00029408158,0.1980272,0.009802916,0.3675569,0.13024497,0.8864428,0.0,499.0,-0.7608939321203665,-0.7608939321203665,63.47935093335003,1.0
410000,0.17975801,-0.12212831,11.01799,12.145501,0.10169938,0.00029392744,0.19797583,0.0097977845,0.4560337,0.16218494,0.85799724,0.0,499.0,-1.6201107173951135,-1.6201107173951135,99.53000182301305,1.0
420000,0.23226783,-0.12833309,11.225193,6.853494,0.097219616,0.0002937761,0.19792539,0.009792743,0.4774046,0.1704243,0.8560836,0.0,484.77272727272725,-0.6282120424915444,-0.6282120424915444,82.8132055134146,1.0
430000,0.25432315,-0.1074256,13.800436,4.4900947,0.09523913,0.00029362488,0.19787495,0.009787708,0.48634264,0.17778629,0.8530644,0.0,428.4166666666667,-0.03943477157989274,-0.03943477157989274,75.23528983468523,1.0
440000,0.2503149,-0.10290487,13.091595,8.089989,0.09629133,0.00029347523,0.19782507,0.009782724,0.5054847,0.1807388,0.848839,0.0,457.1904761904762,-1.5003028592433443,-1.5003028592433443,94.69570728781747,1.0
450000,0.18871571,-0.13924602,14.172552,13.285282,0.10535312,0.00029332298,0.19777434,0.009777655,0.46441704,0.1566583,0.8542005,0.0,499.0,-0.37283335980027915,-0.37283335980027915,103.53985707613052,1.0
460000,0.21870534,-0.10273589,10.568848,6.688353,0.09603544,0.00029317001,0.19772333,0.00977256,0.44003472,0.15175201,0.8601881,0.0,491.1,-0.8309298422383634,-0.8309298422383634,94.65368086170699,1.0
470000,0.19713166,-0.033834044,13.1621895,16.152603,0.09529576,0.00029301818,0.19767272,0.009767506,0.42893875,0.14384072,0.8642483,0.0,489.0,-0.24333334951238197,-0.24333334951238197,104.14504756516544,1.0
480000,0.16181304,-0.05415811,14.248935,57.23957,0.10297837,0.00029287444,0.1976248,0.009762717,0.4661203,0.15161371,0.8566152,0.0,499.0,-0.47201751731336117,-0.47201751731336117,108.07214109550401,1.0
490000,0.09818712,-0.13955379,13.224955,7.739261,0.09987508,0.00029273098,0.19757698,0.00975794,0.38206255,0.12137023,0.8741834,0.0,499.0,-1.1317460452694268,-1.1317460452694268,121.77941166652558,1.0
500000,0.11451192,-0.18133557,13.3117285,17.571491,0.09379883,0.0002925782,0.19752607,0.009752853,0.42719492,0.13966554,0.86450654,0.0,490.8,-0.6362631731715641,-0.6362631731715641,119.5613915979323,1.0
